"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2025 to Mar 2026 (Period 06)","London North Eastern Railway","4628","76","42","80.0","1.73","2.85"
"Apr 2025 to Mar 2026 (Period 07)","London North Eastern Railway","4607","45","54","76.5","1.66","2.62"
"Apr 2025 to Mar 2026 (Period 08)","London North Eastern Railway","4772","52","83","109.0","2.28","2.69"
"Apr 2025 to Mar 2026 (Period 09)","London North Eastern Railway","4613","81","171","211.5","4.58","2.68"
"Apr 2025 to Mar 2026 (Period 10)","London North Eastern Railway","4636","83","109","150.5","3.25","2.72"
"Apr 2025 to Mar 2026 (Period 11)","London North Eastern Railway","5108","81","181","221.5","4.34","2.77"
"Apr 2019 to Mar 2020 (Period 01)","London Overground","37808","590","723","1018.0","2.69","[z]"
"Apr 2019 to Mar 2020 (Period 02)","London Overground","39363","781","762","1152.5","2.93","[z]"
"Apr 2019 to Mar 2020 (Period 03)","London Overground","39225","765","944","1326.5","3.38","[z]"
"Apr 2019 to Mar 2020 (Period 04)","London Overground","37774","915","1191","1648.5","4.36","[z]"
"Apr 2019 to Mar 2020 (Period 05)","London Overground","39879","987","1184","1677.5","4.21","[z]"
"Apr 2019 to Mar 2020 (Period 06)","London Overground","41349","891","941","1386.5","3.35","[z]"
"Apr 2019 to Mar 2020 (Period 07)","London Overground","40455","871","1104","1539.5","3.81","[z]"
"Apr 2019 to Mar 2020 (Period 08)","London Overground","41784","964","863","1345.0","3.22","[z]"
"Apr 2019 to Mar 2020 (Period 09)","London Overground","41183","1329","840","1504.5","3.65","[z]"
"Apr 2019 to Mar 2020 (Period 10)","London Overground","39542","1006","1354","1857.0","4.70","[z]"
"Apr 2019 to Mar 2020 (Period 11)","London Overground","41997","1466","1244","1977.0","4.71","[z]"
"Apr 2019 to Mar 2020 (Period 12)","London Overground","40787","1466","1114","1847.0","4.53","[z]"
"Apr 2019 to Mar 2020 (Period 13)","London Overground","40798","988","1047","1541.0","3.78","3.80"
"Apr 2020 to Mar 2021 (Period 01)","London Overground","25368","143","229","300.5","1.18","3.75"
"Apr 2020 to Mar 2021 (Period 02)","London Overground","25461","527","453","716.5","2.81","3.77"
"Apr 2020 to Mar 2021 (Period 03)","London Overground","30935","238","542","661.0","2.14","3.69"
"Apr 2020 to Mar 2021 (Period 04)","London Overground","31510","376","453","641.0","2.03","3.53"
"Apr 2020 to Mar 2021 (Period 05)","London Overground","31684","565","793","1075.5","3.39","3.47"
"Apr 2020 to Mar 2021 (Period 06)","London Overground","35040","342","312","483.0","1.38","3.32"
"Apr 2020 to Mar 2021 (Period 07)","London Overground","38346","555","713","990.5","2.58","3.22"
"Apr 2020 to Mar 2021 (Period 08)","London Overground","38834","621","752","1062.5","2.74","3.18"
"Apr 2020 to Mar 2021 (Period 09)","London Overground","39482","533","407","673.5","1.71","3.01"
"Apr 2020 to Mar 2021 (Period 10)","London Overground","37002","534","830","1097.0","2.96","2.86"
"Apr 2020 to Mar 2021 (Period 11)","London Overground","38867","437","454","672.5","1.73","2.59"
"Apr 2020 to Mar 2021 (Period 12)","London Overground","39040","520","774","1034.0","2.65","2.42"
"Apr 2020 to Mar 2021 (Period 13)","London Overground","33569","405","459","661.5","1.97","2.26"
"Apr 2021 to Mar 2022 (Period 01)","London Overground","43625","543","644","915.5","2.10","2.31"
"Apr 2021 to Mar 2022 (Period 02)","London Overground","39957","514","412","669.0","1.67","2.23"
"Apr 2021 to Mar 2022 (Period 03)","London Overground","39009","737","751","1119.5","2.87","2.28"
"Apr 2021 to Mar 2022 (Period 04)","London Overground","40552","795","855","1252.5","3.09","2.36"
"Apr 2021 to Mar 2022 (Period 05)","London Overground","40372","593","784","1080.5","2.68","2.33"
"Apr 2021 to Mar 2022 (Period 06)","London Overground","42120","696","724","1072.0","2.55","2.41"
"Apr 2021 to Mar 2022 (Period 07)","London Overground","41896","800","693","1093.0","2.61","2.41"
"Apr 2021 to Mar 2022 (Period 08)","London Overground","40835","843","760","1181.5","2.89","2.43"
"Apr 2021 to Mar 2022 (Period 09)","London Overground","42366","1000","967","1467.0","3.46","2.56"
"Apr 2021 to Mar 2022 (Period 10)","London Overground","38834","714","574","931.0","2.40","2.52"
"Apr 2021 to Mar 2022 (Period 11)","London Overground","39830","695","839","1186.5","2.98","2.62"
"Apr 2021 to Mar 2022 (Period 12)","London Overground","41580","735","1284","1651.5","3.97","2.72"
"Apr 2021 to Mar 2022 (Period 13)","London Overground","38973","731","572","937.5","2.41","2.75"
"Apr 2022 to Mar 2023 (Period 01)","London Overground","45386","664","792","1124.0","2.48","2.78"
"Apr 2022 to Mar 2023 (Period 02)","London Overground","42327","534","576","843.0","1.99","2.80"
"Apr 2022 to Mar 2023 (Period 03)","London Overground","37721","872","1009","1445.0","3.83","2.87"
"Apr 2022 to Mar 2023 (Period 04)","London Overground","40957","1075","1526","2063.5","5.04","3.02"
"Apr 2022 to Mar 2023 (Period 05)","London Overground","34291","618","1205","1514.0","4.42","3.13"
"Apr 2022 to Mar 2023 (Period 06)","London Overground","41684","686","1192","1535.0","3.68","3.22"
"Apr 2022 to Mar 2023 (Period 07)","London Overground","38756","775","734","1121.5","2.89","3.25"
"Apr 2022 to Mar 2023 (Period 08)","London Overground","41236","839","869","1288.5","3.12","3.27"
"Apr 2022 to Mar 2023 (Period 09)","London Overground","41045","892","812","1258.0","3.06","3.23"
"Apr 2022 to Mar 2023 (Period 10)","London Overground","24030","787","1674","2067.5","8.60","3.55"
"Apr 2022 to Mar 2023 (Period 11)","London Overground","41742","920","772","1232.0","2.95","3.55"
"Apr 2022 to Mar 2023 (Period 12)","London Overground","40018","757","574","952.5","2.38","3.42"
"Apr 2022 to Mar 2023 (Period 13)","London Overground","39413","903","727","1178.5","2.99","3.46"
"Apr 2023 to Mar 2024 (Period 01)","London Overground","43398","682","766","1107.0","2.55","3.48"
"Apr 2023 to Mar 2024 (Period 02)","London Overground","42794","1045","630","1152.5","2.69","3.53"
"Apr 2023 to Mar 2024 (Period 03)","London Overground","42573","1038","761","1280.0","3.01","3.47"
"Apr 2023 to Mar 2024 (Period 04)","London Overground","41997","1203","1065","1666.5","3.97","3.38"
"Apr 2023 to Mar 2024 (Period 05)","London Overground","39446","652","598","924.0","2.34","3.24"
"Apr 2023 to Mar 2024 (Period 06)","London Overground","41714","669","724","1058.5","2.54","3.14"
"Apr 2023 to Mar 2024 (Period 07)","London Overground","42465","1013","1030","1536.5","3.62","3.20"
"Apr 2023 to Mar 2024 (Period 08)","London Overground","41621","881","725","1165.5","2.80","3.17"
"Apr 2023 to Mar 2024 (Period 09)","London Overground","41702","1185","1083","1675.5","4.02","3.25"
"Apr 2023 to Mar 2024 (Period 10)","London Overground","37066","913","846","1302.5","3.51","3.03"
"Apr 2023 to Mar 2024 (Period 11)","London Overground","40700","844","733","1155.0","2.84","3.02"
"Apr 2023 to Mar 2024 (Period 12)","London Overground","40600","793","527","923.5","2.27","3.01"
"Apr 2023 to Mar 2024 (Period 13)","London Overground","40978","886","748","1191.0","2.91","3.00"
"Apr 2024 to Mar 2025 (Period 01)","London Overground","40896","978","1147","1636.0","4.00","3.12"
"Apr 2024 to Mar 2025 (Period 02)","London Overground","42814","824","997","1409.0","3.29","3.17"
"Apr 2024 to Mar 2025 (Period 03)","London Overground","40854","948","916","1390.0","3.40","3.20"
"Apr 2024 to Mar 2025 (Period 04)","London Overground","40853","1393","784","1480.5","3.62","3.17"
"Apr 2024 to Mar 2025 (Period 05)","London Overground","38675","724","734","1096.0","2.83","3.21"
"Apr 2024 to Mar 2025 (Period 06)","London Overground","41222","964","666","1148.0","2.78","3.23"
"Apr 2024 to Mar 2025 (Period 07)","London Overground","43052","1036","1212","1730.0","4.02","3.26"
"Apr 2024 to Mar 2025 (Period 08)","London Overground","41799","1072","1215","1751.0","4.19","3.37"
"Apr 2024 to Mar 2025 (Period 09)","London Overground","42353","1556","1439","2217.0","5.23","3.47"
"Apr 2024 to Mar 2025 (Period 10)","London Overground","38434","755","716","1093.5","2.85","3.42"
"Apr 2024 to Mar 2025 (Period 11)","London Overground","41101","1060","893","1423.0","3.46","3.46"
"Apr 2024 to Mar 2025 (Period 12)","London Overground","40919","659","583","912.5","2.23","3.46"
"Apr 2024 to Mar 2025 (Period 13)","London Overground","45067","936","829","1297.0","2.88","3.45"
"Apr 2025 to Mar 2026 (Period 01)","London Overground","39598","906","900","1353.0","3.42","3.41"
"Apr 2025 to Mar 2026 (Period 02)","London Overground","42856","1168","886","1470.0","3.43","3.42"
"Apr 2025 to Mar 2026 (Period 03)","London Overground","42268","1180","1376","1966.0","4.65","3.52"
"Apr 2025 to Mar 2026 (Period 04)","London Overground","42820","1215","1069","1676.5","3.92","3.54"
"Apr 2025 to Mar 2026 (Period 05)","London Overground","42468","902","1086","1537.0","3.62","3.60"
"Apr 2025 to Mar 2026 (Period 06)","London Overground","42909","1258","695","1324.0","3.09","3.62"
"Apr 2025 to Mar 2026 (Period 07)","London Overground","42930","911","782","1237.5","2.88","3.53"
"Apr 2025 to Mar 2026 (Period 08)","London Overground","42638","1197","1194","1792.5","4.20","3.53"
"Apr 2025 to Mar 2026 (Period 09)","London Overground","43006","1551","1589","2364.5","5.50","3.56"
"Apr 2025 to Mar 2026 (Period 10)","London Overground","38937","1054","1146","1673.0","4.30","3.66"
"Apr 2025 to Mar 2026 (Period 11)","London Overground","43302","1396","1362","2060.0","4.76","3.76"
"Apr 2021 to Mar 2022 (Period 08)","Lumo","74","2","4","5.0","6.76","[z]"
"Apr 2021 to Mar 2022 (Period 09)","Lumo","94","4","3","5.0","5.32","[z]"
"Apr 2021 to Mar 2022 (Period 10)","Lumo","131","0","0","0.0","0","[z]"
"Apr 2021 to Mar 2022 (Period 11)","Lumo","158","1","7","7.5","4.75","[z]"
"Apr 2021 to Mar 2022 (Period 12)","Lumo","204","2","4","5.0","2.45","[z]"
"Apr 2021 to Mar 2022 (Period 13)","Lumo","207","1","3","3.5","1.69","[z]"
"Apr 2022 to Mar 2023 (Period 01)","Lumo","295","0","4","4.0","1.36","[z]"
"Apr 2022 to Mar 2023 (Period 02)","Lumo","277","1","3","3.5","1.26","[z]"
"Apr 2022 to Mar 2023 (Period 03)","Lumo","279","6","7","10.0","3.58","[z]"
"Apr 2022 to Mar 2023 (Period 04)","Lumo","280","7","12","15.5","5.54","[z]"
"Apr 2022 to Mar 2023 (Period 05)","Lumo","275","7","16","19.5","7.09","[z]"
"Apr 2022 to Mar 2023 (Period 06)","Lumo","278","8","4","8.0","2.88","[z]"
"Apr 2022 to Mar 2023 (Period 07)","Lumo","188","6","0","3.0","1.60","3.27"
"Apr 2022 to Mar 2023 (Period 08)","Lumo","273","6","0","3.0","1.10","2.98"
"Apr 2022 to Mar 2023 (Period 09)","Lumo","270","10","9","14.0","5.19","3.10"
"Apr 2022 to Mar 2023 (Period 10)","Lumo","231","5","7","9.5","4.11","3.30"
"Apr 2022 to Mar 2023 (Period 11)","Lumo","286","1","2","2.5","0.87","3.02"
"Apr 2022 to Mar 2023 (Period 12)","Lumo","282","5","12","14.5","5.14","3.23"
"Apr 2022 to Mar 2023 (Period 13)","Lumo","271","5","0","2.5","0.92","3.14"
"Apr 2023 to Mar 2024 (Period 01)","Lumo","295","3","4","5.5","1.86","3.19"
"Apr 2023 to Mar 2024 (Period 02)","Lumo","277","1","8","8.5","3.07","3.33"
"Apr 2023 to Mar 2024 (Period 03)","Lumo","282","2","4","5.0","1.77","3.18"
"Apr 2023 to Mar 2024 (Period 04)","Lumo","280","2","1","2.0","0.71","2.80"
"Apr 2023 to Mar 2024 (Period 05)","Lumo","284","5","1","3.5","1.23","2.33"
"Apr 2023 to Mar 2024 (Period 06)","Lumo","275","2","4","5.0","1.82","2.25"
"Apr 2023 to Mar 2024 (Period 07)","Lumo","281","5","0","2.5","0.89","2.17"
"Apr 2023 to Mar 2024 (Period 08)","Lumo","282","13","23","29.5","10.46","2.91"
"Apr 2023 to Mar 2024 (Period 09)","Lumo","279","2","6","7.0","2.51","2.70"
"Apr 2023 to Mar 2024 (Period 10)","Lumo","256","2","12","13.0","5.08","2.78"
"Apr 2023 to Mar 2024 (Period 11)","Lumo","284","7","6","9.5","3.35","2.98"
"Apr 2023 to Mar 2024 (Period 12)","Lumo","275","0","2","2.0","0.73","2.64"
"Apr 2023 to Mar 2024 (Period 13)","Lumo","297","2","3","4.0","1.35","2.66"
"Apr 2024 to Mar 2025 (Period 01)","Lumo","274","4","2","4.0","1.46","2.63"
"Apr 2024 to Mar 2025 (Period 02)","Lumo","279","0","0","0.0","0","2.40"
"Apr 2024 to Mar 2025 (Period 03)","Lumo","284","0","0","0.0","0","2.26"
"Apr 2024 to Mar 2025 (Period 04)","Lumo","283","5","2","4.5","1.59","2.33"
"Apr 2024 to Mar 2025 (Period 05)","Lumo","281","2","5","6.0","2.14","2.40"
"Apr 2024 to Mar 2025 (Period 06)","Lumo","275","0","0","0.0","0","2.26"
"Apr 2024 to Mar 2025 (Period 07)","Lumo","265","2","6","7.0","2.64","2.39"
"Apr 2024 to Mar 2025 (Period 08)","Lumo","268","4","3","5.0","1.87","1.72"
"Apr 2024 to Mar 2025 (Period 09)","Lumo","273","2","0","1.0","0.37","1.56"
"Apr 2024 to Mar 2025 (Period 10)","Lumo","260","0","0","0.0","0","1.20"
"Apr 2024 to Mar 2025 (Period 11)","Lumo","267","6","5","8.0","3.00","1.16"
"Apr 2024 to Mar 2025 (Period 12)","Lumo","236","1","2","2.5","1.06","1.19"
"Apr 2024 to Mar 2025 (Period 13)","Lumo","262","0","3","3.0","1.15","1.17"
"Apr 2025 to Mar 2026 (Period 01)","Lumo","265","3","3","4.5","1.70","1.19"
"Apr 2025 to Mar 2026 (Period 02)","Lumo","272","3","7","8.5","3.13","1.43"
"Apr 2025 to Mar 2026 (Period 03)","Lumo","279","3","0","1.5","0.54","1.48"
"Apr 2025 to Mar 2026 (Period 04)","Lumo","284","3","4","5.5","1.94","1.51"
"Apr 2025 to Mar 2026 (Period 05)","Lumo","279","2","2","3.0","1.08","1.42"
"Apr 2025 to Mar 2026 (Period 06)","Lumo","276","0","1","1.0","0.36","1.45"
"Apr 2025 to Mar 2026 (Period 07)","Lumo","276","3","4","5.5","1.99","1.40"
"Apr 2025 to Mar 2026 (Period 08)","Lumo","251","0","0","0.0","0","1.26"
"Apr 2025 to Mar 2026 (Period 09)","Lumo","250","1","4","4.5","1.80","1.37"
"Apr 2025 to Mar 2026 (Period 10)","Lumo","285","4","3","5.0","1.75","1.51"
"Apr 2025 to Mar 2026 (Period 11)","Lumo","312","8","3","7.0","2.24","1.46"
"Apr 2019 to Mar 2020 (Period 01)","Merseyrail","15334","173","36","122.5","0.80","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Merseyrail","15801","227","33","146.5","0.93","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Merseyrail","16216","197","120","218.5","1.35","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Merseyrail","16218","327","55","218.5","1.35","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Merseyrail","16209","242","109","230.0","1.42","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Merseyrail","15309","130","56","121.0","0.79","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Merseyrail","15927","114","32","89.0","0.56","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Merseyrail","15854","170","93","178.0","1.12","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Merseyrail","15992","121","33","93.5","0.58","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Merseyrail","14489","191","135","230.5","1.59","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Merseyrail","15634","149","45","119.5","0.76","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Merseyrail","16067","199","106","205.5","1.28","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Merseyrail","14779","108","71","125.0","0.85","1.03"
"Apr 2020 to Mar 2021 (Period 01)","Merseyrail","8105","81","20","60.5","0.75","1.04"
"Apr 2020 to Mar 2021 (Period 02)","Merseyrail","7770","39","10","29.5","0.38","1.02"
"Apr 2020 to Mar 2021 (Period 03)","Merseyrail","8672","44","14","36.0","0.42","0.96"
"Apr 2020 to Mar 2021 (Period 04)","Merseyrail","10818","89","58","102.5","0.95","0.92"
"Apr 2020 to Mar 2021 (Period 05)","Merseyrail","11496","92","36","82.0","0.71","0.86"
"Apr 2020 to Mar 2021 (Period 06)","Merseyrail","12811","72","14","50.0","0.39","0.83"
"Apr 2020 to Mar 2021 (Period 07)","Merseyrail","14182","213","95","201.5","1.42","0.91"
"Apr 2020 to Mar 2021 (Period 08)","Merseyrail","12040","196","72","170.0","1.41","0.92"
"Apr 2020 to Mar 2021 (Period 09)","Merseyrail","10631","43","25","46.5","0.44","0.93"
"Apr 2020 to Mar 2021 (Period 10)","Merseyrail","10382","201","305","405.5","3.91","1.07"
"Apr 2020 to Mar 2021 (Period 11)","Merseyrail","9303","104","194","246.0","2.64","1.20"
"Apr 2020 to Mar 2021 (Period 12)","Merseyrail","10155","31","5","20.5","0.20","1.12"
"Apr 2020 to Mar 2021 (Period 13)","Merseyrail","10740","127","86","149.5","1.39","1.17"
"Apr 2021 to Mar 2022 (Period 01)","Merseyrail","14585","146","63","136.0","0.93","1.17"
"Apr 2021 to Mar 2022 (Period 02)","Merseyrail","13111","119","59","118.5","0.90","1.18"
"Apr 2021 to Mar 2022 (Period 03)","Merseyrail","13126","114","63","120.0","0.91","1.21"
"Apr 2021 to Mar 2022 (Period 04)","Merseyrail","13156","58","34","63.0","0.48","1.16"
"Apr 2021 to Mar 2022 (Period 05)","Merseyrail","13205","69","50","84.5","0.64","1.15"
"Apr 2021 to Mar 2022 (Period 06)","Merseyrail","13270","198","61","160.0","1.21","1.22"
"Apr 2021 to Mar 2022 (Period 07)","Merseyrail","13548","145","65","137.5","1.01","1.18"
"Apr 2021 to Mar 2022 (Period 08)","Merseyrail","13636","198","144","243.0","1.78","1.22"
"Apr 2021 to Mar 2022 (Period 09)","Merseyrail","13636","181","145","235.5","1.73","1.31"
"Apr 2021 to Mar 2022 (Period 10)","Merseyrail","12510","123","120","181.5","1.45","1.16"
"Apr 2021 to Mar 2022 (Period 11)","Merseyrail","10856","142","34","105.0","0.97","1.06"
"Apr 2021 to Mar 2022 (Period 12)","Merseyrail","12731","94","95","142.0","1.12","1.12"
"Apr 2021 to Mar 2022 (Period 13)","Merseyrail","12626","112","89","145.0","1.15","1.10"
"Apr 2022 to Mar 2023 (Period 01)","Merseyrail","14661","108","52","106.0","0.72","1.08"
"Apr 2022 to Mar 2023 (Period 02)","Merseyrail","16078","404","104","306.0","1.90","1.17"
"Apr 2022 to Mar 2023 (Period 03)","Merseyrail","11913","318","123","282.0","2.37","1.28"
"Apr 2022 to Mar 2023 (Period 04)","Merseyrail","15993","386","552","745.0","4.66","1.64"
"Apr 2022 to Mar 2023 (Period 05)","Merseyrail","14584","370","144","329.0","2.26","1.77"
"Apr 2022 to Mar 2023 (Period 06)","Merseyrail","16074","148","52","126.0","0.78","1.72"
"Apr 2022 to Mar 2023 (Period 07)","Merseyrail","14961","179","81","170.5","1.14","1.73"
"Apr 2022 to Mar 2023 (Period 08)","Merseyrail","15623","311","132","287.5","1.84","1.73"
"Apr 2022 to Mar 2023 (Period 09)","Merseyrail","15258","274","267","404.0","2.65","1.81"
"Apr 2022 to Mar 2023 (Period 10)","Merseyrail","10792","168","359","443.0","4.10","1.97"
"Apr 2022 to Mar 2023 (Period 11)","Merseyrail","14971","357","155","333.5","2.23","2.05"
"Apr 2022 to Mar 2023 (Period 12)","Merseyrail","14927","142","68","139.0","0.93","2.03"
"Apr 2022 to Mar 2023 (Period 13)","Merseyrail","15044","317","324","482.5","3.21","2.18"
"Apr 2023 to Mar 2024 (Period 01)","Merseyrail","16283","266","184","317.0","1.95","2.27"
"Apr 2023 to Mar 2024 (Period 02)","Merseyrail","15419","297","233","381.5","2.47","2.31"
"Apr 2023 to Mar 2024 (Period 03)","Merseyrail","16113","293","225","371.5","2.31","2.31"
"Apr 2023 to Mar 2024 (Period 04)","Merseyrail","14686","240","116","236.0","1.61","2.06"
"Apr 2023 to Mar 2024 (Period 05)","Merseyrail","14141","310","169","324.0","2.29","2.07"
"Apr 2023 to Mar 2024 (Period 06)","Merseyrail","14722","287","261","404.5","2.75","2.23"
"Apr 2023 to Mar 2024 (Period 07)","Merseyrail","14402","497","252","500.5","3.48","2.40"
"Apr 2023 to Mar 2024 (Period 08)","Merseyrail","14442","353","422","598.5","4.14","2.58"
"Apr 2023 to Mar 2024 (Period 09)","Merseyrail","14366","380","368","558.0","3.88","2.67"
"Apr 2023 to Mar 2024 (Period 10)","Merseyrail","13184","540","360","630.0","4.78","2.74"
"Apr 2023 to Mar 2024 (Period 11)","Merseyrail","15002","657","373","701.5","4.68","2.93"
"Apr 2023 to Mar 2024 (Period 12)","Merseyrail","15140","426","339","552.0","3.65","3.14"
"Apr 2023 to Mar 2024 (Period 13)","Merseyrail","15309","351","229","404.5","2.64","3.09"
"Apr 2024 to Mar 2025 (Period 01)","Merseyrail","14720","373","255","441.5","3.00","3.19"
