line,from_id,to_id
northern,940GZZLUCPC,940GZZLUCPS
northern,940GZZLUCPS,940GZZLUBLM
northern,940GZZLUBLM,940GZZLUTBC
northern,940GZZLUTBC,940GZZLUTBY
northern,940GZZLUTBY,940GZZLUCSD
northern,940GZZLUCSD,940GZZLUSWN
northern,940GZZLUSWN,940GZZLUMDN
northern,940GZZLUCTN,940GZZLUMTC
northern,940GZZLUMTC,940GZZLUEUS
northern,940GZZLUEUS,940GZZLUWRR
northern,940GZZLUWRR,940GZZLUGDG
northern,940GZZLUGDG,940GZZLUTCR
northern,940GZZLUTCR,940GZZLULSQ
northern,940GZZLULSQ,940GZZLUCHX
northern,940GZZLUCHX,940GZZLUEMB
northern,940GZZLUEMB,940GZZLUWLO
northern,940GZZLUWLO,940GZZLUKNG
northern,940GZZLUKNG,940GZZNEUGST
northern,940GZZNEUGST,940GZZBPSUST
northern,940GZZLUHBT,940GZZLUTAW
northern,940GZZLUTAW,940GZZLUWOP
northern,940GZZLUWOP,940GZZLUWFN
northern,940GZZLUWFN,940GZZLUFYC
northern,940GZZLUFYC,940GZZLUEFY
northern,940GZZLUEFY,940GZZLUHGT
northern,940GZZLUHGT,940GZZLUACY
