station_id,station_name,lat,lon,zone
940GZZLUACY,Archway Underground Station,51.565478,-0.134819,
940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,
940GZZLUAGL,Angel Underground Station,51.531788,-0.105919,
940GZZLUALD,Aldgate Underground Station,51.514246,-0.075689,
940GZZLUALP,Alperton Underground Station,51.540627,-0.29961,
940GZZLUAMS,Amersham Underground Station,51.674126,-0.607714,
940GZZLUASG,Arnos Grove Underground Station,51.616446,-0.133062,
940GZZLUASL,Arsenal Underground Station,51.558655,-0.107457,
940GZZLUBBB,Bromley-by-Bow Underground Station,51.524839,-0.011538,
940GZZLUBBN,Barbican Underground Station,51.520275,-0.097993,
940GZZLUBDS,Bounds Green Underground Station,51.607034,-0.124235,
940GZZLUBEC,Becontree Underground Station,51.540331,0.127016,
940GZZLUBKE,Barkingside Underground Station,51.585689,0.088585,
940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,
940GZZLUBKG,Barking Underground Station,51.539321,0.081053,
940GZZLUBKH,Buckhurst Hill Underground Station,51.626605,0.046757,
940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,
940GZZLUBLM,Balham Underground Station,51.443288,-0.152997,
940GZZLUBLR,Blackhorse Road Underground Station,51.586919,-0.04115,
940GZZLUBMY,Bermondsey Underground Station,51.49775,-0.063993,
940GZZLUBND,Bond Street Underground Station,51.514304,-0.149723,
940GZZLUBNK,Bank Underground Station,51.513335,-0.088712,
940GZZLUBOR,Borough Underground Station,51.501199,-0.09337,
940GZZLUBOS,Boston Manor Underground Station,51.495635,-0.324939,
940GZZLUBSC,Barons Court Underground Station,51.490311,-0.213427,
940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,
940GZZLUBTK,Burnt Oak Underground Station,51.602774,-0.264048,
940GZZLUBTX,Brent Cross Underground Station,51.57665,-0.213622,
940GZZLUBWR,Bow Road Underground Station,51.52694,-0.025128,
940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,
940GZZLUBXN,Brixton Underground Station,51.462618,-0.114888,
940GZZLUBZP,Belsize Park Underground Station,51.550311,-0.164648,
940GZZLUCAL,Chalfont & Latimer Underground Station,51.667985,-0.560689,
940GZZLUCAR,Caledonian Road Underground Station,51.548519,-0.118493,
940GZZLUCFM,Chalk Farm Underground Station,51.544118,-0.153388,
940GZZLUCGN,Covent Garden Underground Station,51.513093,-0.124436,
940GZZLUCGT,Canning Town Underground Station,51.513584,0.008322,
940GZZLUCHL,Chancery Lane Underground Station,51.518247,-0.111583,
940GZZLUCHX,Charing Cross Underground Station,51.50741,-0.127277,
940GZZLUCKS,Cockfosters Underground Station,51.65152,-0.149171,
940GZZLUCND,Colindale Underground Station,51.595424,-0.249919,
940GZZLUCPC,Clapham Common Underground Station,51.461742,-0.138317,
940GZZLUCPK,Canons Park Underground Station,51.607701,-0.294693,
940GZZLUCPN,Clapham North Underground Station,51.465135,-0.130016,
940GZZLUCPS,Clapham South Underground Station,51.452654,-0.147582,
