Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2017-18,12,Line Operations - Central Line,Excess Journey Time - Trains,3.88,2.95,Central,central
2017-18,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.62,3.13,Circle and Hammersmith,circle and hammersmith
2017-18,12,Line Operations - District Line,Excess Journey Time - Trains,3.93,3.37,District,district
2017-18,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.82,1.28,Jubilee,jubilee
2017-18,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.94,2.13,Metropolitan,metropolitan
2017-18,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.8,1.45,Northern,northern
2017-18,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.48,3.55,Piccadilly,piccadilly
2017-18,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.54,1.23,Victoria,victoria
2017-18,12,London Underground Network,Excess Journey Time - Total,5.41,4.6,London Underground Network,london underground network
2017-18,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.58,1.74,Bakerloo,bakerloo
2017-18,13,Line Operations - Central Line,Excess Journey Time - Trains,3.21,2.97,Central,central
2017-18,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.28,3.14,Circle and Hammersmith,circle and hammersmith
2017-18,13,Line Operations - District Line,Excess Journey Time - Trains,3.72,3.4,District,district
2017-18,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.06,1.34,Jubilee,jubilee
2017-18,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.36,2.15,Metropolitan,metropolitan
2017-18,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.44,Northern,northern
2017-18,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.18,3.52,Piccadilly,piccadilly
2017-18,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.35,1.24,Victoria,victoria
2017-18,13,London Underground Network,Excess Journey Time - Total,4.98,4.63,London Underground Network,london underground network
2018-19,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.44,1.44,Bakerloo,bakerloo
2018-19,1,Line Operations - Central Line,Excess Journey Time - Trains,2.41,2.41,Central,central
2018-19,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.46,3.46,Circle and Hammersmith,circle and hammersmith
2018-19,1,Line Operations - District Line,Excess Journey Time - Trains,2.9,2.9,District,district
